network_name,testcase_name,op_name,stc_input_dtypes,stc_ori_inputs,stc_ori_outputs,stc_input_ori_formats,output_ori_formats,other_compilation_params,other_runtime_params,stc_inputs,output_dtypes,stc_outputs,stc_input_formats,output_formats,dyn_inputs,dyn_input_dtypes,dyn_outputs,dyn_ori_inputs,dyn_ori_outputs,dyn_input_formats,dyn_input_ori_formats,dyn_input_ranges,dyn_output_ranges,dyn_input_as_list_distribution,stc_input_as_list_distribution,input_as_variable,stc_op_name,const_input_indexes,precision_tolerances,input_data_ranges,strict_precision_mode,absolute_precision,shape_check,output_inplace_indexes,random_buff,is_enabled,bucket,arity,position,tiling_key,kernel
UNKNOWN,gelu_v2_00001,gelu_v2,"('float16',)","((1024, 1024),)","((1024, 1024),)","('ND',)","('ND',)",{'approximate': 'none'},{'approximate': 'none'},"((1024, 1024),)","('float16',)","((1024, 1024),)","('ND',)","('ND',)","((-1, -1),)","('float16',)","((-1, -1),)","((-1, -1),)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)),)","(((1, None), (1, None)),)",(),(),(),gelu_v2,(),,"((-1, 1),)",1,,1,(),,1,medium,1,,7,gelu
UNKNOWN,gelu_v2_00002,gelu_v2,"('float32',)","((2048, 2048),)","((2048, 2048),)","('ND',)","('ND',)",{'approximate': 'none'},{'approximate': 'none'},"((2048, 2048),)","('float32',)","((2048, 2048),)","('ND',)","('ND',)","((-1, -1),)","('float32',)","((-1, -1),)","((-1, -1),)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)),)","(((1, None), (1, None)),)",(),(),(),gelu_v2,(),,"((-2, 2),)",1,,1,(),,1,medium,1,,7,gelu
UNKNOWN,gelu_v2_00003,gelu_v2,"('bfloat16',)","((4096, 4096),)","((4096, 4096),)","('ND',)","('ND',)",{'approximate': 'none'},{'approximate': 'none'},"((4096, 4096),)","('bfloat16',)","((4096, 4096),)","('ND',)","('ND',)","((-1, -1),)","('bfloat16',)","((-1, -1),)","((-1, -1),)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)),)","(((1, None), (1, None)),)",(),(),(),gelu_v2,(),,"((-3, 3),)",1,,1,(),,1,big,1,,7,gelu
UNKNOWN,gelu_v2_00004,gelu_v2,"('float16',)","((8192, 8192),)","((8192, 8192),)","('ND',)","('ND',)",{'approximate': 'tanh'},{'approximate': 'tanh'},"((8192, 8192),)","('float16',)","((8192, 8192),)","('ND',)","('ND',)","((-1, -1),)","('float16',)","((-1, -1),)","((-1, -1),)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)),)","(((1, None), (1, None)),)",(),(),(),gelu_v2,(),,"((-10, 10),)",1,,1,(),,1,big,1,,7,gelu
UNKNOWN,gelu_v2_00005,gelu_v2,"('float32',)","((8192, 8192),)","((8192, 8192),)","('ND',)","('ND',)",{'approximate': 'tanh'},{'approximate': 'tanh'},"((8192, 8192),)","('float32',)","((8192, 8192),)","('ND',)","('ND',)","((-1, -1),)","('float32',)","((-1, -1),)","((-1, -1),)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)),)","(((1, None), (1, None)),)",(),(),(),gelu_v2,(),,"((-100, 100),)",1,,1,(),,1,big,1,,7,gelu
UNKNOWN,gelu_v2_00006,gelu_v2,"('bfloat16',)","((1023, 1023),)","((1023, 1023),)","('ND',)","('ND',)",{'approximate': 'tanh'},{'approximate': 'tanh'},"((1023, 1023),)","('bfloat16',)","((1023, 1023),)","('ND',)","('ND',)","((-1, -1),)","('bfloat16',)","((-1, -1),)","((-1, -1),)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)),)","(((1, None), (1, None)),)",(),(),(),gelu_v2,(),,"((-0.1, 0.1),)",1,,1,(),,1,medium,1,,7,gelu
UNKNOWN,gelu_v2_00007,gelu_v2,"('float16',)","((1009, 1021),)","((1009, 1021),)","('ND',)","('ND',)",{'approximate': 'none'},{'approximate': 'none'},"((1009, 1021),)","('float16',)","((1009, 1021),)","('ND',)","('ND',)","((-1, -1),)","('float16',)","((-1, -1),)","((-1, -1),)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)),)","(((1, None), (1, None)),)",(),(),(),gelu_v2,(),,"((-1, 2),)",1,,1,(),,1,medium,1,,7,gelu
UNKNOWN,gelu_v2_00008,gelu_v2,"('float32',)","((1537, 769),)","((1537, 769),)","('ND',)","('ND',)",{'approximate': 'tanh'},{'approximate': 'tanh'},"((1537, 769),)","('float32',)","((1537, 769),)","('ND',)","('ND',)","((-1, -1),)","('float32',)","((-1, -1),)","((-1, -1),)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)),)","(((1, None), (1, None)),)",(),(),(),gelu_v2,(),,"((-5, 10),)",1,,1,(),,1,medium,1,,7,gelu
UNKNOWN,gelu_v2_00009,gelu_v2,"('bfloat16',)","((363, 367, 373),)","((363, 367, 373),)","('ND',)","('ND',)",{'approximate': 'none'},{'approximate': 'none'},"((363, 367, 373),)","('bfloat16',)","((363, 367, 373),)","('ND',)","('ND',)","((-1, -1, -1),)","('bfloat16',)","((-1, -1, -1),)","((-1, -1, -1),)","((-1, -1, -1),)","('ND',)","('ND',)","(((1, None), (1, None), (1, None)),)","(((1, None), (1, None), (1, None)),)",(),(),(),gelu_v2,(),,"((-50, 100),)",1,,1,(),,1,big,1,,7,gelu
UNKNOWN,gelu_v2_00010,gelu_v2,"('float16',)","((2049, 513),)","((2049, 513),)","('ND',)","('ND',)",{'approximate': 'tanh'},{'approximate': 'tanh'},"((2049, 513),)","('float16',)","((2049, 513),)","('ND',)","('ND',)","((-1, -1),)","('float16',)","((-1, -1),)","((-1, -1),)","((-1, -1),)","('ND',)","('ND',)","(((1, None), (1, None)),)","(((1, None), (1, None)),)",(),(),(),gelu_v2,(),,"((-65504, 65504),)",1,,1,(),,1,medium,1,,7,gelu
UNKNOWN,gelu_v2_00011,gelu_v2,"('float32',)","((3, 7, 13, 4001),)","((3, 7, 13, 4001),)","('ND',)","('ND',)",{'approximate': 'none'},{'approximate': 'none'},"((3, 7, 13, 4001),)","('float32',)","((3, 7, 13, 4001),)","('ND',)","('ND',)","((-1, -1, -1, -1),)","('float32',)","((-1, -1, -1, -1),)","((-1, -1, -1, -1),)","((-1, -1, -1, -1),)","('ND',)","('ND',)","(((1, None), (1, None), (1, None), (1, None)),)","(((1, None), (1, None), (1, None), (1, None)),)",(),(),(),gelu_v2,(),,"((-88, 88),)",1,,1,(),,1,medium,1,,7,gelu
UNKNOWN,gelu_v2_00012,gelu_v2,"('bfloat16',)","((1000003,),)","((1000003,),)","('ND',)","('ND',)",{'approximate': 'tanh'},{'approximate': 'tanh'},"((1000003,),)","('bfloat16',)","((1000003,),)","('ND',)","('ND',)","((-1,),)","('bfloat16',)","((-1,),)","((-1,),)","((-1,),)","('ND',)","('ND',)","(((1, None),),)","(((1, None),),)",(),(),(),gelu_v2,(),,"(('-inf', 'inf'),)",1,,1,(),,1,medium,1,,7,gelu
