case_id,shape,dtype,mode,old_us,new_us,old_speedup,new_speedup,old_baseline_us,new_baseline_us,relative_to_iteration03,status,accuracy
level1/gelu_1,"[1024, 1024]",float16,none,10.85,13.35,0.41382488479262675,0.3363295880149813,4.49,4.49,0.8127340823970037,success,True
level1/gelu_2,"[2048, 2048]",float32,none,51.03,38.99,0.30119537526944934,0.39420364195947677,15.37,15.37,1.3087971274685817,success,True
level1/gelu_3,"[4096, 4096]",bfloat16,none,206.0,152.0,0.14631067961165048,0.19828947368421054,30.14,30.14,1.355263157894737,success,True
level1/gelu_4,"[8192, 8192]",float16,tanh,253.08,185.75,0.683301722775407,0.9309825033647375,172.93,172.93,1.3624764468371469,success,True
level1/gelu_5,"[8192, 8192]",float32,tanh,456.39,351.02,0.848539626196893,1.1032562247165403,387.265,387.265,1.3001823257934022,success,True
level1/gelu_6,"[1023, 1023]",bfloat16,tanh,6.3,5.31,0.707936507936508,0.8399246704331451,4.46,4.46,1.1864406779661016,success,True
level1/gelu_7,"[1009, 1021]",float16,none,10.98,13.41,0.40528233151183973,0.3318419090231171,4.45,4.45,0.8187919463087249,success,True
level1/gelu_8,"[1537, 769]",float32,tanh,9.04,6.91,0.6758849557522125,0.8842257597684515,6.11,6.11,1.3082489146164977,success,True
level1/gelu_9,"[363, 367, 373]",bfloat16,none,602.0,442.58,0.19523255813953488,0.26555650955759413,117.53,117.53,1.3602060644403273,success,True
level1/gelu_10,"[2049, 513]",float16,tanh,6.44,5.47,0.7080745341614906,0.8336380255941499,4.56,4.56,1.1773308957952469,success,True
level1/gelu_11,"[3, 7, 13, 4001]",float32,none,15.98,13.34,0.3785982478097622,0.4535232383808096,6.05,6.05,1.1979010494752624,success,True
level1/gelu_12,[1000003],bfloat16,tanh,6.44,5.39,0.6801242236024844,0.8126159554730984,4.38,4.38,1.194805194805195,success,True
level1/gelu_13,"[11, 13, 17, 67, 67]",float32,none,131.86,96.24,0.28405126649476714,0.3891832917705736,37.455,37.455,1.3701163757273485,success,True
level1/gelu_14,"[3, 7, 11, 13, 1009]",float16,tanh,13.02,10.09,0.5975422427035331,0.7710604558969277,7.78,7.78,1.290386521308226,success,True
level1/gelu_15,"[512, 2049]",float32,none,15.73,13.38,0.38016528925619836,0.4469357249626308,5.98,5.98,1.1756352765321374,success,True
level1/gelu_16,"[255, 8193]",bfloat16,none,27.54,24.09,0.2262164124909223,0.25861353258613534,6.23,6.23,1.1432129514321294,success,True
level1/gelu_17,"[4097, 511]",float16,tanh,9.84,7.82,0.641260162601626,0.8069053708439897,6.31,6.31,1.258312020460358,success,True
level1/gelu_18,"[2, 511, 2049]",float32,none,27.87,23.14,0.3179045568711876,0.38288677614520306,8.86,8.86,1.2044079515989627,success,True
level1/gelu_19,"[4, 255, 2049]",bfloat16,tanh,9.98,7.67,0.627254509018036,0.8161668839634941,6.26,6.26,1.3011734028683182,success,True
level1/gelu_20,"[2, 3, 17, 1024, 101]",float32,none,130.29,91.22,0.27780336173152204,0.39678798509098884,36.195,36.195,1.428305196228897,success,True
