name,variant,phase,dtype,tile,unroll,cores,reuse,static,vf,elements,completed,compiled,numerical,ub_bytes,median_ticks,failed_segments,evidence
corrected-bf16,corrected,numerical,bfloat16,15872,2,1,1,default,0,15872,False,,,,,[],evidence/corrected-bf16/result.json
corrected-f16,corrected,numerical,float16,15872,2,1,1,default,0,15872,True,True,False,126976,,"['dense_negative_tails', 'official_range_4']",evidence/corrected-f16/result.json
corrected-f32,corrected,numerical,float32,15872,2,1,1,default,0,,False,,,,,[],evidence/corrected-f32/result.json
corrected-f32-r2-vf1,corrected,numerical,float32,15872,2,1,2,default,1,15872,True,True,True,253952,,[],evidence/corrected-f32-r2-vf1/result.json
corrected-f32-v2,corrected,numerical,float32,15872,2,1,1,default,0,15872,True,True,True,253952,,[],evidence/corrected-f32-v2/result.json
corrected-f32-vf1,corrected,numerical,float32,15872,2,1,1,default,1,15872,True,True,True,253952,,[],evidence/corrected-f32-vf1/result.json
exact-bfloat16-r1-vf0,exact,numerical,bfloat16,8192,2,1,1,default,0,16384,True,True,True,98304,,[],evidence/exact-bfloat16-r1-vf0/result.json
exact-fast-dense,exact_fast,numerical,float32,1024,1,1,1,default,1,16384,True,True,True,49152,,[],evidence/exact-fast-dense/result.json
exact-fast-stress,exact_fast,numerical,float32,1024,1,1,1,default,1,6144,True,True,True,49152,,[],evidence/exact-fast-stress/result.json
exact-fast-tail-repeat,exact_fast,tail,float32,1024,1,8,1,default,1,2049,True,True,True,49152,,[],evidence/exact-fast-tail-repeat/result.json
exact-float16-r1-vf0,exact,numerical,float16,8192,2,1,1,default,0,16384,True,True,True,98304,,[],evidence/exact-float16-r1-vf0/result.json
exact-float32-r1-vf0,exact,numerical,float32,8192,2,1,1,default,0,16384,True,True,False,131072,,['dense_negative_tails'],evidence/exact-float32-r1-vf0/result.json
exact-float32-r1-vf1,exact,numerical,float32,8192,2,1,1,default,1,16384,True,True,False,131072,,['dense_negative_tails'],evidence/exact-float32-r1-vf1/result.json
exact-stable-compile-case-1,exact_stable,compile,float16,1024,1,72,1,default,1,1048576,True,True,,73728,,[],evidence/exact-stable-compile-case-1/result.json
exact-stable-compile-case-11,exact_stable,compile,float32,1024,1,72,1,default,1,1092273,True,True,,73728,,[],evidence/exact-stable-compile-case-11/result.json
exact-stable-compile-case-13,exact_stable,compile,float32,1024,1,72,1,default,1,10912759,True,True,,73728,,[],evidence/exact-stable-compile-case-13/result.json
exact-stable-compile-case-15,exact_stable,compile,float32,1024,1,72,1,default,1,1049088,True,True,,73728,,[],evidence/exact-stable-compile-case-15/result.json
exact-stable-compile-case-16,exact_stable,compile,bfloat16,1024,1,72,1,default,1,2089215,True,True,,73728,,[],evidence/exact-stable-compile-case-16/result.json
exact-stable-compile-case-18,exact_stable,compile,float32,1024,1,72,1,default,1,2094078,True,True,,73728,,[],evidence/exact-stable-compile-case-18/result.json
exact-stable-compile-case-2,exact_stable,compile,float32,1024,1,72,1,default,1,4194304,True,True,,73728,,[],evidence/exact-stable-compile-case-2/result.json
exact-stable-compile-case-20,exact_stable,compile,float32,1024,1,72,1,default,1,10549248,True,True,,73728,,[],evidence/exact-stable-compile-case-20/result.json
exact-stable-compile-case-3,exact_stable,compile,bfloat16,1024,1,72,1,default,1,16777216,True,True,,73728,,[],evidence/exact-stable-compile-case-3/result.json
exact-stable-compile-case-7,exact_stable,compile,float16,1024,1,72,1,default,1,1030189,True,True,,73728,,[],evidence/exact-stable-compile-case-7/result.json
