case_id,shape,dtype,mode,numel,tile_shape,unroll,launched_AIV_blocks,useful_AIV_blocks,tiles_per_partition,reuse_alloc,vf_fusion,static_alloc_requested,static_alloc_effective,interpretation,ub_bytes,ub_budget_bytes,ub_percent,previous_us,elapsed_us,reference_us,speedup,accuracy,implementation,job_url
1,"[1024, 1024]",float16,none,1048576,[8192],2,72,64,2,1,False,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,98304,253952,38.70967741935484,11.87,,,,,candidate/gelu.py#L43,
2,"[2048, 2048]",float32,none,4194304,[5120],1,72,69,12,1,True,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,245760,253952,96.7741935483871,132.81,,,,,candidate/gelu.py#L43,
3,"[4096, 4096]",bfloat16,none,16777216,[8192],2,72,71,29,1,False,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,98304,253952,38.70967741935484,147.81,,,,,candidate/gelu.py#L43,
4,"[8192, 8192]",float16,tanh,67108864,[8192],2,72,72,114,1,False,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,131072,253952,51.61290322580645,206.08,,,,,candidate/gelu.py#L37,
5,"[8192, 8192]",float32,tanh,67108864,[15872],2,72,72,59,1,False,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,253952,253952,100.0,339.39,,,,,candidate/gelu.py#L37,
6,"[1023, 1023]",bfloat16,tanh,1046529,[8192],2,72,64,2,1,False,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,131072,253952,51.61290322580645,5.84,,,,,candidate/gelu.py#L37,
7,"[1009, 1021]",float16,none,1030189,[8192],2,72,63,2,1,False,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,98304,253952,38.70967741935484,11.91,,,,,candidate/gelu.py#L43,
8,"[1537, 769]",float32,tanh,1181953,[15872],2,72,38,2,1,False,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,253952,253952,100.0,8.75,,,,,candidate/gelu.py#L37,
9,"[363, 367, 373]",bfloat16,none,49691433,[8192],2,72,72,85,1,False,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,98304,253952,38.70967741935484,433.1,,,,,candidate/gelu.py#L43,
10,"[2049, 513]",float16,tanh,1051137,[8192],2,72,65,2,1,False,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,131072,253952,51.61290322580645,5.88,,,,,candidate/gelu.py#L37,
11,"[3, 7, 13, 4001]",float32,none,1092273,[5120],1,72,72,3,1,True,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,245760,253952,96.7741935483871,37.27,,,,,candidate/gelu.py#L43,
12,[1000003],bfloat16,tanh,1000003,[8192],2,72,62,2,1,False,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,131072,253952,51.61290322580645,5.88,,,,,candidate/gelu.py#L37,
13,"[11, 13, 17, 67, 67]",float32,none,10912759,[5120],1,72,72,30,1,True,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,245760,253952,96.7741935483871,342.52,,,,,candidate/gelu.py#L43,
14,"[3, 7, 11, 13, 1009]",float16,tanh,3030027,[8192],2,72,62,6,1,False,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,131072,253952,51.61290322580645,11.94,,,,,candidate/gelu.py#L37,
15,"[512, 2049]",float32,none,1049088,[5120],1,72,69,3,1,True,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,245760,253952,96.7741935483871,36.47,,,,,candidate/gelu.py#L43,
16,"[255, 8193]",bfloat16,none,2089215,[8192],2,72,64,4,1,False,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,98304,253952,38.70967741935484,22.48,,,,,candidate/gelu.py#L43,
17,"[4097, 511]",float16,tanh,2093567,[8192],2,72,64,4,1,False,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,131072,253952,51.61290322580645,9.23,,,,,candidate/gelu.py#L37,
18,"[2, 511, 2049]",float32,none,2094078,[5120],1,72,69,6,1,True,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,245760,253952,96.7741935483871,68.77,,,,,candidate/gelu.py#L43,
19,"[4, 255, 2049]",bfloat16,tanh,2089980,[8192],2,72,64,4,1,False,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,131072,253952,51.61290322580645,9.21,,,,,candidate/gelu.py#L37,
20,"[2, 3, 17, 1024, 101]",float32,none,10549248,[5120],1,72,72,29,1,True,None,True,Useful blocks analytically derived; not hardware occupancy telemetry,245760,253952,96.7741935483871,331.09,,,,,candidate/gelu.py#L43,
